Year,CHIRPS_Precipitation,Region
2006,1553.1252351999283,Bangui
2007,1433.326332449913,Bangui
2008,1366.6965772509575,Bangui
2009,1517.5892924070358,Bangui
2010,1635.6156740188599,Bangui
2011,1462.4222155809402,Bangui
2012,1435.62775015831,Bangui
2013,1693.9497512578964,Bangui
2014,1377.6104001998901,Bangui
2015,1269.446249961853,Bangui
2016,1496.1836949586868,Bangui
2017,1469.7653248012066,Bangui
2018,1309.7637385427952,Bangui
2019,1543.1646001338959,Bangui
2020,1302.4525401587598,Bangui
2021,1551.2970161437988,Bangui
2022,1357.8422798514366,Bangui
2023,1729.4222474098206,Bangui
2024,1169.5761756505817,Bangui
2000,2089.2806990146637,Khammouan
2001,2307.811307311058,Khammouan
2002,2539.7161971330643,Khammouan
2003,2103.9475049972534,Khammouan
2004,2517.3887046575546,Khammouan
2005,3095.559086561203,Khammouan
2006,2675.763239622116,Khammouan
2007,2518.2888197898865,Khammouan
2008,2581.613921523094,Khammouan
2009,2141.0972003936768,Khammouan
2010,2292.6329683065414,Khammouan
2011,2665.165988922119,Khammouan
2012,2418.8371484279633,Khammouan
2013,3031.864935874939,Khammouan
2014,2009.420958518982,Khammouan
2015,1745.6058850884438,Khammouan
2016,2187.272414445877,Khammouan
2017,2651.375058889389,Khammouan
2018,2835.741413652897,Khammouan
2019,2151.203407264307,Khammouan
2020,1838.7619416043162,Khammouan
2021,2350.474479198456,Khammouan
2022,2784.327636005706,Khammouan
2023,2305.3955750465393,Khammouan
2024,2272.491121209576,Khammouan
2000,2294.5879576206207,Hau Giang
2001,1860.24507188797,Hau Giang
2002,1600.4698112607002,Hau Giang
2003,2167.2663902044296,Hau Giang
2004,1711.8768482208252,Hau Giang
2005,1936.6519193649292,Hau Giang
2006,1733.6131995916367,Hau Giang
2007,2130.4019904136658,Hau Giang
2008,1900.1620857715607,Hau Giang
2009,1881.9622431993484,Hau Giang
2010,1941.9164041280746,Hau Giang
2011,1906.2792950868607,Hau Giang
2012,2002.8005849123,Hau Giang
2013,2092.753584623337,Hau Giang
2014,1760.7785731554031,Hau Giang
2015,1681.8961350917816,Hau Giang
2016,2184.854932308197,Hau Giang
